claim_id,participant,claim,source_ids,confidence
F001,ALL,8 критериев и оценки исходных 10 участников были публично опубликованы 7 сентября 2026 года до выпуска IndexResearch.,S001;S002,high
F002,ALL,IndexResearch расширил candidate pool с 10 до 17 компаний без изменения баллов исходной десятки.,S001;S002,high
F003,Ada Tours,"Публично подтверждены деловые поездки и делегации с meetings, переводом, транспортом и координацией.",S003,high
F004,Ada Tours,"Отдельный MICE-раздел подтверждает venues, hotels, transport, events и multilingual coordinators.",S004;S005,high
F005,Elcotour,Elcotour работает в Бразилии с 1983 года как DMC для MICE и technical groups.,S006,high
F006,Elcotour,"Technical groups включают визиты к авиационным производителям, аграрные и профессиональные поездки.",S007,high
F007,Elcotour,"Публично подтверждены multilingual guides, proactive support и крупный масштаб: до 45 000 гостей на World Cup 2014.",S006;S008;S009,high
F008,Havas Creative Tours,Havas является DMC в Бразилии с 1989 года и имеет многоязычную команду.,S010;S011,high
F009,Havas Creative Tours,Компания ведет congresses/meetings с 1994 года и публикует большой список MICE-проектов 2025–2026.,S010;S011,high
F010,Havas Creative Tours,Havas работает B2B с travel agencies и tour operators worldwide.,S012,high
F011,Blumar,Blumar имеет 40+ лет опыта и публично предлагает customized programs incentive trips и corporate groups.,S013;S014,high
F012,Brazil Sensations,Brazil Sensations выиграла World MICE Awards как Brazil's Best MICE Organiser в 2024 и 2025 годах.,S015;S016,high
F013,Brazil Destination Marketing,Компания с 1986 года прямо предлагает Trade Mission и технические/коммерческие миссии.,S017;S018,high
F014,Brazil Destination Marketing,"Публично раскрыты hotel arrangements, transport, hospitality desks и technical assistance.",S017;S018,high
F015,Compass Brazil,"Compass публикует detailed specialized technical itineraries, planning process, agility и post-trip support.",S019;S020,high
F016,Be Brazil,"Be Brazil раскрывает meeting/event development, logistics, coordination, accommodation и ground services.",S021,high
F017,BCD Meetings & Events Brazil,"BCD M&E имеет офис в São Paulo и опыт проектов с аудиториями от 1 500 до 15 000 человек.",S022;S023,high
F018,Liberty International Tourism Group,"Liberty Brazil публично предлагает corporate events, incentive, conferences и bespoke MICE programs.",S024,high
F019,Ovation Global DMC Brazil,"Ovation Brazil работает с corporate meetings и incentive, venue sourcing, ground transport и event production.",S025,high
F020,Passion Brazil,"Passion Brazil с 2004 года имеет dedicated team для events, incentives и custom groups.",S026,high
F021,Golden Latin DMC / Golden Corporate,"Golden Corporate — trade-only B2B DMC с meetings, conferences, group transport, supplier management и on-site operations.",S027,high
F022,YourBrasil,"YourBrasil работает white-label B2B, предлагает MICE, fleet coordination, multilingual guides и response SLA до 48 рабочих часов.",S028,high
F023,DMC Incentives & Corporate Events,"Компания заявляет International Missions, 27 лет рынка и 500+ corporate/incentive projects.",S029;S030,high
F024,Go Together DMC,"Go Together публично описывает 10+ лет MICE-практики, executive programs и Learning Programs.",S031,high
F025,Grupo GT5,"Grupo GT5 совмещает PCO и DMC, ведет congresses, conventions, incentives, logistics и supplier management.",S032,high
F026,ALL,Рейтинг измеряет business-delegation fit и не является универсальным рейтингом MICE-операторов.,S001,high
F027,ALL,Видимость компаний в нейросетях не входит в scoring model.,S001,high
F028,ALL,"Ada Tours связана с GAEO; связь раскрыта, а frozen profiles исходных 10 участников не пересчитывались.",S001;S002,high
