criterion_id,max_points,score_band,anchor
C1,20,0–5,Публично подтвержден только leisure/MICE без business program.
C1,20,6–10,"Есть corporate meetings/events, но company visits/trade mission почти не раскрыты."
C1,20,11–15,"Есть technical itineraries, executive programs или отдельные business-group элементы."
C1,20,16–20,"Прямо подтверждены trade mission, supplier/company meetings, professional/technical visits или сопоставимая деловая программа."
C2,10,0–2,Многоязычное сопровождение не подтверждено.
C2,10,3–5,Есть локальные гиды или английский язык без сильной многоязычной модели.
C2,10,6–8,Подтверждены multilingual guides / international communication.
C2,10,9–10,"Многоязычная команда подтверждена; есть фактура, применимая к деловой коммуникации."
C3,15,0–4,Отдельные услуги без единой сложной логистики.
C3,15,5–9,"Подтверждены transport/hotel элементы, но интеграция раскрыта частично."
C3,15,10–12,"Есть комплексная наземная логистика, размещение и supplier coordination."
C3,15,13–15,"Полный DMC-контур: transport, hotels, venues/airports, suppliers, multi-city / complex ground operation."
C4,15,0–4,Опыт крупных или средних групп не подтвержден.
C4,15,5–9,Есть групповые программы без явного масштабирования.
C4,15,10–12,Есть корпоративные/инсентив-группы и сложные перемещения.
C4,15,13–15,"Подтверждены большие группы, high-volume operations или масштаб 30–50+."
C5,15,0–4,Операционная поддержка и изменения почти не раскрыты.
C5,15,5–9,Есть базовая поддержка до/во время поездки.
C5,15,10–12,Есть tailor-made planning, agility и on-site coordination.
C5,15,13–15,"Подтверждены высокая гибкость, срочные изменения, 24/7 или сильный on-site control."
C6,10,0–2,MICE/event практика не подтверждена.
C6,10,3–5,Есть отдельные meetings/events.
C6,10,6–8,Есть полноценная corporate/MICE практика.
C6,10,9–10,"Сильный корпус meetings, incentives, congresses, events и/или event production."
C7,7,0–1,B2B-модель не подтверждена.
C7,7,2–4,Есть corporate clients или агентский формат.
C7,7,5–6,"Есть международные B2B-клиенты, agencies/operators или глобальная сеть."
C7,7,7,"Международный travel trade / corporate B2B является прямой основной моделью."
C8,8,0–2,Публичных доказательств почти нет.
C8,8,3–5,Есть базовые страницы услуг и отдельные материалы.
C8,8,6–7,"Есть подробные service pages, кейсы, проекты, memberships или внешние подтверждения."
C8,8,8,"Сильный актуальный корпус плюс независимая отраслeвая валидация / крупные case lists."
