source_id,participant,class,title,url,used_for,note
S001,ALL,prior_publication,Sostav: ТОП-10 компаний для деловой поездки и делегации в Бразилию,https://www.sostav.ru/blogs/292167/106831,provenance,"Публичная версия от 07.09.2026: 8 критериев, веса, оценки 10 участников."
S002,ALL,prior_publication,TenChat: Деловая поездка в Бразилию — 10 DMC для делегаций и MICE,https://tenchat.ru/media/6121660-delovaya-poyezdka-v-braziliyu-10-dmc-dlya-delegatsiy-i-mice-reyting-2026,provenance,"Адаптация той же темы; family_id=business_delegation_brazil_2026."
S003,Ada Tours,official,Деловые поездки и делегации в Бразилию,https://brasiltours.ru/delovye-poezdki-i-delegacii-v-braziliyu,C1;C2;C3;C4;C5,"Прямой business-delegation продукт: встречи, перевод, транспорт, гостиницы и координация."
S004,Ada Tours,official,Групповые туры и MICE,https://brasiltours.ru/gruppovye-tury-i-mice,C2;C3;C4;C5;C6,"Площадки, отели, транспорт, мероприятия, конгрессы, многоязычные гиды/координаторы."
S005,Ada Tours,official,Ada Tours / Brasil Tours,https://brasiltours.ru/,C3;C5;C7;C8,"Принимающий оператор в Бразилии; общая география, команда и продукт."
S006,Elcotour,official,About Us,https://elcotour.com.br/about-us/,C2;C3;C5;C7;C8,"DMC с 1983 года, multilingual guides, supplier network, проверка транспорта, 24/7 IT."
S007,Elcotour,official,Leisure Travel / Technical Groups,https://elcotour.com.br/leisure-travel/,C1;C2;C3,"Technical groups: aviation manufacturers, agricultural trips, architecture and special-interest visits."
S008,Elcotour,official,Incentives,https://elcotour.com.br/incentives/,C4;C5;C6;C8,"Incentive/MICE; около 20 000 incentive/leisure passengers annually; proactive support before/during/after."
S009,Elcotour,official,Sport Events,https://elcotour.com.br/sport-events/,C3;C4;C5;C8,"FIFA World Cup 2014 — 45 000 гостей; Rio Olympics 2016 — 6 900; ground handling и staffing."
S010,Havas Creative Tours,official,Congresses and Meetings,https://havasbrazil.com.br/congresses-meetings/,C3;C4;C5;C6;C8,"DMC с 1989; congresses/meetings с 1994; большой список проектов 2025–2026."
